,court_short_name,court_full_name,court_jurisdiction,jurisdiction
1000,Broward County Circuit Court,"Circuit Court of the 17th Judicial Circuit of Florida, Broward County",ST,"Florida, FL"
1001,San Fran. Dist Ct,San Fransisco District Court,ST,"California, CA"
1002,Spring Valley Justice Court,Justice Court of Village of Spring Valley,ST,"New York, NY"
1003,Mercer County Orphans' Court,"Pennsylvania Orphans' Court, Mercer County",ST,"Pennsylvania, PA"
1004,Adams County Orphans' Court,"Pennsylvania Orphans' Court, Adams County",ST,"Pennsylvania, PA"
1005,Chester County Orphans' Court,"Pennsylvania Orphans' Court, Chester County",ST,"Pennsylvania, PA"
1006,Montgomery County Court,"New York County Court, Montgomery County",ST,"New York, NY"
1007,Bergen County Surrogate's Court,Bergen County Surrogate's Court,ST,"New Jersey, NJ"
1008,East Liverpool Municipal Court,East Liverpool Municipal Court,ST,"Ohio, OH"
1009,Ohio Probate Court,Ohio Probate Court,ST,"Ohio, OH"
1010,Lakewood Municipal Court,Lakewood Municipal Court,ST,"Colorado, CO"
1011,Allegheny County Court of Quarter Sessions,Allegheny County Court of Quarter Sessions,ST,"Pennsylvania, PA"
1012,Union County Court of Quarter Sessions,Union County Court of Quarter Sessions,ST,"New Jersey, NJ"
1013,Perry County Court of Quarter Sessions,Perry County Court of Quarter Sessions,ST,"Pennsylvania, PA"
